RegionName,h,MAPE_mean,sMAPE_mean,RMSE_mean,MAE_mean,folds,meets_goal
"Chicago, IL",3,0.47409407365563827,0.4754581793467662,1312.7866836206797,1152.05888115904,55,True
"Chicago, IL",6,0.9398600996823582,0.946996463676635,2830.4817460470626,2362.7922483511106,55,True
"Chicago, IL",12,1.9703120504047467,2.0035492135778843,6105.289392651978,5036.432432442184,55,True
"Los Angeles, CA",3,0.9777409318370639,0.9802763571799158,7187.06232790367,6096.057093332372,55,True
"Los Angeles, CA",6,2.25010509891585,2.26109947514712,17428.56209013485,14292.020461365151,55,True
"Los Angeles, CA",12,4.193066840371299,4.227291771536645,33146.21760877668,27662.46504488132,55,True
"Miami, FL",3,0.47997002882869244,0.4815474390502256,1850.4956969160244,1579.6528721112227,55,True
"Miami, FL",6,1.094400552498368,1.099555480247722,4462.419500754538,3689.56107111313,55,True
"Miami, FL",12,2.3775098267250856,2.3978921345104998,9771.920151319637,8036.935236960823,55,True
"New York, NY",3,0.32311207343275794,0.3235093818390383,1992.1651982024764,1669.391782496791,55,True
"New York, NY",6,0.7756174995551415,0.7778869327275931,4999.129240280319,4080.7148392710465,55,True
"New York, NY",12,1.7495894540539039,1.7606079005411368,11678.684879361246,9482.453267835228,55,True
"San Francisco, CA",3,0.8286685588171229,0.8287997515454022,8918.845841843502,7542.206119947214,55,True
"San Francisco, CA",6,1.8514941476901126,1.853509759288089,20669.23109175109,17031.1131390114,55,True
"San Francisco, CA",12,3.9998745055336347,4.041589630456868,44836.13251878115,36628.27817433818,55,True
